%-)	User has been staring at a green screen for 15 hours straight.  -)	User has been staring at a green screen for 15 hours straight.

AFK	Away from computer keyboard (for wireless users)  FK	Away from computer keyboard (for wireless users)

AIM	AOL Instant Messenger; also verb for FTP'ing files via AIM  IM	AOL Instant Messenger; also verb for FTP'ing files via AIM

AISI	As I see it  ISI	As I see it

AIUI	As I understand it  IUI	As I understand it

AKA	Also known as  KA	Also known as

AML	All my love  ML	All my love

ANFSCD	And now for something completely different  NFSCD	And now for something completely different

ASAP	As soon as possible  SAP	As soon as possible

ASL	Assistant section leader  SL	Assistant section leader

ASOP	Assistant system operator  SOP	Assistant system operator

ATM	At the moment  TM	At the moment

AWA	As well as  WA	As well as

AWGTHTGTTA	Are we going to have to go trough this again?  WGTHTGTTA	Are we going to have to go trough this again?

AWHFY	Are we having fun yet?  WHFY	Are we having fun yet?

AWOL	Absent without leave  WOL	Absent without leave

AYOR	At your own risk  YOR	At your own risk

AYPI?	And your point is?  YPI?	And your point is?

B	Back  	Back

B-)	User wears horn-rimmed glasses.  -)	User wears horn-rimmed glasses.

B/C	Because  /C	Because

B/F	Boyfriend  /F	Boyfriend

B4	Before  4	Before

B4N	Bye for now  4N	Bye for now

B:-)	Sunglasses on head.  :-)	Sunglasses on head.

BAC	Back at computer  AC	Back at computer

BAG	Busting a gut  AG	Busting a gut

BAK	Back at the keyboard  AK	Back at the keyboard

BBIAB	Be back in a bit  BIAB	Be back in a bit

BBL	Be back later  BL	Be back later

BBLBNTSBO...	Be back later but not to soon because of...  BLBNTSBO...	Be back later but not to soon because of...

BBR	Burnt beyond repair  BR	Burnt beyond repair

BBS	Be back soon  BS	Be back soon

BC	Because  C	Because

BCNU	Be Seein' You  CNU	Be Seein' You

BEG	Big evil grin  EG	Big evil grin

BF	Boyfriend  F	Boyfriend

BFN	Bye for now  FN	Bye for now

BG	Big grin  G	Big grin

BICBW	But I could be wrong  ICBW	But I could be wrong

BION	Believe it or not  ION	Believe it or not

BIOYIOB	Blow it out your I/O port  IOYIOB	Blow it out your I/O port

BITMT	But in the meantime  ITMT	But in the meantime

BKA	Better known as  KA	Better known as

BL	Belly laughing  L	Belly laughing

BM	Bite me  M	Bite me

BMB	bite my bum  MB	bite my bum

BMG	Be my guest  MG	Be my guest

BMTIPG	Brilliant minds think in parallel gutters  MTIPG	Brilliant minds think in parallel gutters

BOB	Back off bastard  OB	Back off bastard

BOL	Be on later  OL	Be on later

BOM	Bitch of mine  OM	Bitch of mine

BOT	Back on topic  OT	Back on topic

BRB	Be right back  RB	Be right back

BRBB	Be right back bitch  RBB	Be right back bitch

BRBS	Be right back soon  RBS	Be right back soon

BRH	Be right here  RH	Be right here

BRS	Big red switch  RS	Big red switch

BS	Big smile  S	Big smile

BSF	But seriously folks  SF	But seriously folks

BST	But seriously though  ST	But seriously though

BTA	But then again  TA	But then again

BTAIM	Be that as it may  TAIM	Be that as it may

BTDT	Been there done that  TDT	Been there done that

BTOBD	Be there or be dead  TOBD	Be there or be dead

BTOBS	Be there or be square  TOBS	Be there or be square

BTSOOM	Beats the shit out of me  TSOOM	Beats the shit out of me

BTW	By the way  TW	By the way

BUDWEISER	Because you deserve what every individual should ever receive  UDWEISER	Because you deserve what every individual should ever receive

BWQ	Buzz word quotient  WQ	Buzz word quotient

BWTHDIK	But what the heck do I know  WTHDIK	But what the heck do I know

BYOB	Bring your own bottle  YOB	Bring your own bottle

BYOH	Bat You Onna Head  YOH	Bat You Onna Head

C&G	Chuckle and grin  &G	Chuckle and grin

C=:-)	User is a chef.  =:-)	User is a chef.

C=}>;*{))	A drunk, devilish chef with a toupee in an updraft, a mustache, and a double chin.  =}>;*{))	A drunk, devilish chef with a toupee in an updraft, a mustache, and a double chin.

CAD	Ctrl-alt-delete  AD	Ctrl-alt-delete

CADET	Can't add, doesn't even try  ADET	Can't add, doesn't even try

CDIWY	Couldn't do it without you  DIWY	Couldn't do it without you

CFN	Ciao for now  FN	Ciao for now

CFS	Care for secret?  FS	Care for secret?

CFV	Call for votes  FV	Call for votes

CFY	Calling for you  FY	Calling for you

CID	Consider it done  ID	Consider it done

CIM	CompuServe information manager  IM	CompuServe information manager

CLM	Career limiting move  LM	Career limiting move

CM@TW	Catch me at the web  M@TW	Catch me at the web

CMIIW	Correct me if I'm wrong  MIIW	Correct me if I'm wrong

CNP	Continue in next post  NP	Continue in next post

CO	Conference  O	Conference

CRAFT	Can't remember a frighten thing  RAFT	Can't remember a frighten thing

CRS	Can’t remember shit  RS	Can’t remember shit

CSG	Chuckle snicker grin  SG	Chuckle snicker grin

CTS	Changing the subject  TS	Changing the subject

CU	See you  U	See you

CU2	See you too  U2	See you too

CUL	See you later  UL	See you later

CUL8R	See you later  UL8R	See you later

CWOT	Complete waste of time  WOT	Complete waste of time

CWYL	Chat with you later  WYL	Chat with you later

CYA	See ya  YA	See ya

CYAL8R	See ya later  YAL8R	See ya later

CYO	See you online  YO	See you online

DBA	Doing business as  BA	Doing business as

DCED	Disconnected  CED	Disconnected

DFLA	Disenhanced four-letter acronym  FLA	Disenhanced four-letter acronym

DGA	Digital guardian angel  GA	Digital guardian angel

DH	Darling husband  H	Darling husband

DIIK	Darn if i know  IIK	Darn if i know

DIKU	Do I know you?  IKU	Do I know you?

DITYID	Did I tell you I'm distressed  ITYID	Did I tell you I'm distressed

DIY	Do it yourself  IY	Do it yourself

DL	Dead link  L	Dead link

DLTBBB	Don't let the bad bugs bite  LTBBB	Don't let the bad bugs bite

DMMGH	Don't make me get hostile  MMGH	Don't make me get hostile

DND	Do not disturb  ND	Do not disturb

DQMOT	Don't quote me on this  QMOT	Don't quote me on this

DTC	Damn this computer  TC	Damn this computer

DTRT	Do the right thing  TRT	Do the right thing

DUCT	Did you see that?  UCT	Did you see that?

DWAI	Don't worry about it  WAI	Don't worry about it

DWIM	Do what I mean  WIM	Do what I mean

DWIMC	Do what I mean, correctly  WIMC	Do what I mean, correctly

DWISNWID	Do what I say, not what I do  WISNWID	Do what I say, not what I do

DYJHIW	Don't you just hate it when...  YJHIW	Don't you just hate it when...

DYK	Do you know  YK	Do you know

DYOH	Do your own homework  YOH	Do your own homework

E-:-)	User is a Ham radio operator.  -:-)	User is a Ham radio operator.

E-:-I	Net.ham-radio  -:-I	Net.ham-radio

EAK	Eating at keyboard  AK	Eating at keyboard

EG	Evil grin  G	Evil grin

EIE	Enough is enough  IE	Enough is enough

EMFJI	Excuse me for jumping in  MFJI	Excuse me for jumping in

EMSG	Email message  MSG	Email message

EOD	End of discussion  OD	End of discussion

EOF	End of file  OF	End of file

EOL	End of lecture  OL	End of lecture

EOM	End of message  OM	End of message

EOT	End of thread  OT	End of thread

ETLA	Extended three letter acronym  TLA	Extended three letter acronym

F	Female  	Female

F/F	Face to face  /F	Face to face

F2F	Face to face  2F	Face to face

FAQ	Frequently asked questions  AQ	Frequently asked questions

FAWC	For anyone who cares  AWC	For anyone who cares

FBOW	For better or worse  BOW	For better or worse

FBTW	Fine, be that way  BTW	Fine, be that way

FCFS	First come, first served  CFS	First come, first served

FCOL	For crying out loud  COL	For crying out loud

FIFO	First in, first out  IFO	First in, first out

FISH	First in, still here  ISH	First in, still here

FLA	Four-letter acronym  LA	Four-letter acronym

FOAD	Fight over and die  OAD	Fight over and die

FOAF	Friend of a friend  OAF	Friend of a friend

FOB	Full of bless  OB	Full of bless

FOC	Free of charge  OC	Free of charge

FOCL	Falling of chair laughing  OCL	Falling of chair laughing

FOFL	Falling on the floor laughing  OFL	Falling on the floor laughing

FOS	Freedom of speech  OS	Freedom of speech

FOTCL	Falling of the chair laughing  OTCL	Falling of the chair laughing

FTF	Face to face  TF	Face to face

FTTT	From time to time  TTT	From time to time

FU	F*cked up  U	F*cked up

FUBAR	F*cked up beyond all recognition  UBAR	F*cked up beyond all recognition

FUD	Fear, uncertainty and doubt  UD	Fear, uncertainty and doubt

FURTB	Full up ready to burst (about hard disk drives)  URTB	Full up ready to burst (about hard disk drives)

FW	Forward  W	Forward

FWIW	For what it's worth  WIW	For what it's worth

FYA	For your amusement  YA	For your amusement

FYE	For your entertainment  YE	For your entertainment

FYEO	For your eyes only  YEO	For your eyes only

FYI	For your information  YI	For your information

G	Grin  	Grin

G&BIT	Grin and bear it  &BIT	Grin and bear it

G2B	Going to bed  2B	Going to bed

G2G	Got to go  2G	Got to go

G2GGS2D	Got to go get something to drink  2GGS2D	Got to go get something to drink

GA	Good afternoon  A	Good afternoon

GAFIA	Get away from it all  AFIA	Get away from it all

GAL	Get a life  AL	Get a life

GAS	Greetings and salutations  AS	Greetings and salutations

GBH	Great big hug  BH	Great big hug

GBH&K	Great big huh and kisses  BH&K	Great big huh and kisses

GBR	Garbled beyond recovery  BR	Garbled beyond recovery

GBY	God bless you  BY	God bless you

GD&H	Grinning, ducking and hiding  D&H	Grinning, ducking and hiding

GD&R	Grinning, ducking and running  D&R	Grinning, ducking and running

GD&RAFAP	Grinning, ducking and running as fast as possible  D&RAFAP	Grinning, ducking and running as fast as possible

GD&REF&F	grinning, ducking and running even further and faster  D&REF&F	grinning, ducking and running even further and faster

GD&RF	Grinning, ducking and running fast  D&RF	Grinning, ducking and running fast

GD&RVF	Grinning, ducking and running very  D&RVF	Grinning, ducking and running very

GD&W	Grin, duck and wave  D&W	Grin, duck and wave

GDW	Grin, duck and wave  DW	Grin, duck and wave

GE	Good evening  E	Good evening

GF	Girlfriend  F	Girlfriend

GFETE	Grinning from ear to ear  FETE	Grinning from ear to ear

GFN	Gone for now  FN	Gone for now

GFU	Good for you  FU	Good for you

GG	Good game  G	Good game

GGU2	Good game you two  GU2	Good game you two

GIGO	Garbage in garbage out  IGO	Garbage in garbage out

GJ	Good job  J	Good job

GL	Good luck  L	Good luck

GL&GH	Good luck and good hunting  L&GH	Good luck and good hunting

GM	Good morning  M	Good morning

GMAB	Give me a break  MAB	Give me a break

GMTA	Great minds think alike  MTA	Great minds think alike

GN	Good night  N	Good night

GOK	God only knows  OK	God only knows

GOWI	Get on with it  OWI	Get on with it

GPF	General protection fault  PF	General protection fault

GR&D	Grinning, running and ducking  R&D	Grinning, running and ducking

GR8	Great  R8	Great

GRA	Go right ahead  RA	Go right ahead

GTG	Got to go  TG	Got to go

GTSY	Glad to see you  TSY	Glad to see you

GW	Good work  W	Good work

H	Hug  	Hug

H&K	Hug and kiss  &K	Hug and kiss

H/O	Hold on  /O	Hold on

HAG1	Have a good one  AG1	Have a good one

HAGD	Have a good day  AGD	Have a good day

HAGN	Have a good night  AGN	Have a good night

HAGS	Have a good summer  AGS	Have a good summer

HAHA	Having a heart attack  AHA	Having a heart attack

HAK	Hug and kiss  AK	Hug and kiss

HAND	Have a nice day  AND	Have a nice day

HB	Hug back  B	Hug back

HDYWTDT	How do you work this dratted thing  DYWTDT	How do you work this dratted thing

HF	Have fun  F	Have fun

HH	Holding hands  H	Holding hands

HHIS	Hanging head in shame  HIS	Hanging head in shame

HHJK	Ha ha, just kidding  HJK	Ha ha, just kidding

HHOJ	Ha ha, only joking  HOJ	Ha ha, only joking

HHOK	Ha ha, only kidding  HOK	Ha ha, only kidding

HHOS	Ha ha, only seriously  HOS	Ha ha, only seriously

HIH	Hope it helps  IH	Hope it helps

HILIACACLO	Help I lapsed into a coma and can’t log off  ILIACACLO	Help I lapsed into a coma and can’t log off

HIWTH	Hate it when that happens  IWTH	Hate it when that happens

HLM	He loves me  LM	He loves me

HMS	Home made smiley  MS	Home made smiley

HMT	Here’s my try  MT	Here’s my try

HMWK	Homework  MWK	Homework

HOAS	Hold on a second  OAS	Hold on a second

HSIK	How should i know  SIK	How should i know

HT	Hi there  T	Hi there

HTH	Hope this helps  TH	Hope this helps

HTHBE	Hope this has been enlightening  THBE	Hope this has been enlightening

HYLMS	Hate you like my sister  YLMS	Hate you like my sister

IAAA	I am an accountant  AAA	I am an accountant

IAAL	I am a lawyer  AAL	I am a lawyer

IAC	In any case  AC	In any case

IAE	In any event  AE	In any event

IAG	It's all good  AG	It's all good

IAIM	In an Irish minute  AIM	In an Irish minute

IANAA	I am not an accountant  ANAA	I am not an accountant

IANAL	I am not a lawyer  ANAL	I am not a lawyer

IBN	I'm bucked naked  BN	I'm bucked naked

IC	I see  C	I see

ICOCBW	I could of course be wrong  COCBW	I could of course be wrong

IDC	I don't care  DC	I don't care

IDGI	I don't get it  DGI	I don't get it

IDGW	In a good way  DGW	In a good way

IDI	I doubt it  DI	I doubt it

IDK	I don't know  DK	I don't know

IDTT	I'll drink to that  DTT	I'll drink to that

IFVB	I feel very bad  FVB	I feel very bad

IGP	I gotta pee  GP	I gotta pee

IGTP	I get the point  GTP	I get the point

IHTFP	I hate this fountain place  HTFP	I hate this fountain place

IHU	I hate you  HU	I hate you

IHY	I hate you  HY	I hate you

II	I’m impressed  I	I’m impressed

IIR	If I recall  IR	If I recall

IIRC	If I recall correctly  IRC	If I recall correctly

IIT	I’m impressed too  IT	I’m impressed too

IJWTK	I just want to know  JWTK	I just want to know

IJWTS	I just want to say  JWTS	I just want to say

IK	I know  K	I know

IKWUM	I know what you mean  KWUM	I know what you mean

ILBCNU	I"ll be seeing you  LBCNU	I"ll be seeing you

ILU	I love you  LU	I love you

ILY	I love you  LY	I love you

ILYFAE	I love you forever and ever  LYFAE	I love you forever and ever

IM	Instant message  M	Instant message

IMAO	In my arrogant opinion  MAO	In my arrogant opinion

IMBO	In my bloody opinion  MBO	In my bloody opinion

IMCO	In my considered opinion  MCO	In my considered opinion

IME	In my experience  ME	In my experience

IMFAO	In my fooling arrogant opinion  MFAO	In my fooling arrogant opinion

IMHO	In my humble opinion  MHO	In my humble opinion

IMNSHO	In my, not so humble opinion  MNSHO	In my, not so humble opinion

IMO	In my opinion  MO	In my opinion

IMOBO	In my own biased opinion  MOBO	In my own biased opinion

IMP	I might be pregnant  MP	I might be pregnant

IMPOV	In my point of view  MPOV	In my point of view

IMS	I am sorry  MS	I am sorry

INAL	I'm not a lawyer  NAL	I'm not a lawyer

INPO	In no particular order  NPO	In no particular order

IOIT	I'm on Irish Time  OIT	I'm on Irish Time

IOW	In other words  OW	In other words

IRC	Internet Relay Chat; an multiuser, multinetwork conversing platform (http://www.irc.org)  RC	Internet Relay Chat; an multiuser, multinetwork conversing platform (http://www.irc.org)

IRL	In real life  RL	In real life

IRMFI	I reply merely for information  RMFI	I reply merely for information

IS	I'm sorry  S	I'm sorry

ISTM	It seems to me  STM	It seems to me

ISTR	I seem to recall  STR	I seem to recall

ISWYM	I see what you mean  SWYM	I see what you mean

ITFA	In the final analysis  TFA	In the final analysis

ITRO	In the reality of  TRO	In the reality of

ITRW	In the real world  TRW	In the real world

ITSFWI	If the shoe fits, wear it  TSFWI	If the shoe fits, wear it

IVL	In virtual live  VL	In virtual live

IWALY	I will always love you  WALY	I will always love you

IWBNI	It would be nice if  WBNI	It would be nice if

IYKWIM	If you know what I mean  YKWIM	If you know what I mean

IYSWIM	If you see what I mean  YSWIM	If you see what I mean

J/K	Just kidding  /K	Just kidding

J/P	Just playing  /P	Just playing

JAM	Just a minute  AM	Just a minute

JAS	Just a second  AS	Just a second

JASE	Just another system error  ASE	Just another system error

JAWS	Just another windows shell  AWS	Just another windows shell

JIC	Just in case  IC	Just in case

JJWY	Just joking with you  JWY	Just joking with you

JK	Just kidding  K	Just kidding

JMHO	Just my humble opinion  MHO	Just my humble opinion

JMO	Just my opinion  MO	Just my opinion

JP	Just playing  P	Just playing

JTLYK	Just to let you know  TLYK	Just to let you know

JW	Just wondering  W	Just wondering

K	Kiss (rarely used)  	Kiss (rarely used)

K:P	User is a little kid with a propeller beenie.  :P	User is a little kid with a propeller beenie.

KB	Kiss back  B	Kiss back

KHYF	Know how you feel  HYF	Know how you feel

KIS	Keep it simple  IS	Keep it simple

KISS	Keeping it sweetly simple  ISS	Keeping it sweetly simple

KIT	Keep in touch  IT	Keep in touch

KOTC	Kiss on the cheek  OTC	Kiss on the cheek

KOTL	Kiss on the lips  OTL	Kiss on the lips

KUTGW	Keep up the good work  UTGW	Keep up the good work

KWIM	Know what I mean?  WIM	Know what I mean?

L	Laugh  	Laugh

L8R	Later  8R	Later

L8R G8R	Later gator  8R G8R	Later gator

LAB	Life's a bitch  AB	Life's a bitch

LBR	Little boys room  BR	Little boys room

LD	Long distance  D	Long distance

LGR	Little girls room  GR	Little girls room

LHM	Lord help me  HM	Lord help me

LHU	Lord help us  HU	Lord help us

LL&P	Live long & prosper  L&P	Live long & prosper

LMA	Leave me alone  MA	Leave me alone

LMHO	Laughing my head off  MHO	Laughing my head off

LMK	Let me know  MK	Let me know

LNK	Love and kisses  NK	Love and kisses

LOL	Lots of love  OL	Lots of love

LOLA	Laughing out loud again  OLA	Laughing out loud again

LOML	Light of my life (or love of my life)  OML	Light of my life (or love of my life)

LOMLILY	Light of my life, I love you  OMLILY	Light of my life, I love you

LOOL	Laughing out outrageously loud  OOL	Laughing out outrageously loud

LSHIPMP	Laughing so hard I pissed my pants  SHIPMP	Laughing so hard I pissed my pants

LSHMBB	Laughing so hard my belly is bouncing  SHMBB	Laughing so hard my belly is bouncing

LSHMBH	Laughing so hard my belly hurts  SHMBH	Laughing so hard my belly hurts

LTNS	Long time no see  TNS	Long time no see

LTR	Long term relationship  TR	Long term relationship

LTS	Laughing to self  TS	Laughing to self

LULAS	Love you like a sister  ULAS	Love you like a sister

LUWAMH	Love you with all my heart  UWAMH	Love you with all my heart

LY	Love ya  Y	Love ya

LYK	Let you know  YK	Let you know

LYL	Love ya lots  YL	Love ya lots

LYLAB	Love ya like a brother  YLAB	Love ya like a brother

LYLAS	Love ya like a sister  YLAS	Love ya like a sister

M	Male  	Male

M8	Mate  8	Mate

MB	Maybe  B	Maybe

MYOB	Mind your own business  YOB	Mind your own business

N	In  	In

N/C	Not cool  /C	Not cool

N/M	Never mind / nothing much  /M	Never mind / nothing much

N/S	No shit  /S	No shit

N2M	Not too much  2M	Not too much

NBD	No big deal  BD	No big deal

NE1	Anyone  E1	Anyone

NETUA	Nobody ever tells us anything  ETUA	Nobody ever tells us anything

NFI	No found idea  FI	No found idea

NL	Not likely  L	Not likely

NM	Never mind / nothing much  M	Never mind / nothing much

NMH	Not much here  MH	Not much here

NMJC	Nothing much, just chillin'  MJC	Nothing much, just chillin'

NOM	No offense meant  OM	No offense meant

NOTTOMH	Not of the top of my mind  OTTOMH	Not of the top of my mind

NOYB	None of your business  OYB	None of your business

NOYFB	None of your failing business  OYFB	None of your failing business

NP	No problem  P	No problem

NRN	No response necessary  RN	No response necessary

NS	No shit  S	No shit

NTA	Non-technical acronym  TA	Non-technical acronym

NVM	Nevermind  VM	Nevermind

O :-)	User is an angel (at heart, at least).   :-)	User is an angel (at heart, at least).

O |-)	Net.religion   |-)	Net.religion

O-)	Megaton Man On Patrol!(or else, user is a scuba diver)  -)	Megaton Man On Patrol!(or else, user is a scuba diver)

OBTW	Oh, by the way  BTW	Oh, by the way

OF	On fire  F	On fire

OFIS	On floor with stitches  FIS	On floor with stitches

OH	Off hand  H	Off hand

OIC	Oh I see  IC	Oh I see

OK	Abbreviation of oll korrect (all correct)  K	Abbreviation of oll korrect (all correct)

OL	Old lady (wife, girlfriend)  L	Old lady (wife, girlfriend)

OM	Old man (husband, boyfriend)  M	Old man (husband, boyfriend)

OMG	Oh my god / gosh / goodness  MG	Oh my god / gosh / goodness

OOC	Out of character  OC	Out of character

OT	Off topic / other topic  T	Off topic / other topic

OTOH	On the other hand  TOH	On the other hand

OTP	On the phone  TP	On the phone

OTTOMH	Off the top of my head  TTOMH	Off the top of my head

PAW	Parents are watching  AW	Parents are watching

PDS	Please don't shoot  DS	Please don't shoot

PEBCAK	Problem exists between chair and keyboard  EBCAK	Problem exists between chair and keyboard

PLS	Please  LS	Please

PLZ	Please  LZ	Please

PM	Private message  M	Private message

PMFJI	Pardon me for jumping in  MFJI	Pardon me for jumping in

PMJI	Pardon my jumping in (Another way for PMFJI)  MJI	Pardon my jumping in (Another way for PMFJI)

PMP	Peed my pants  MP	Peed my pants

POAHF	Put on a happy face  OAHF	Put on a happy face

POC	Point of contact  OC	Point of contact

POOF	I have left the chat  OOF	I have left the chat

POS	Parents over shoulder  OS	Parents over shoulder

POTB	Pats on the back  OTB	Pats on the back

POV	Point of view  OV	Point of view

PPL	People  PL	People

PS	Post script  S	Post script

PSA	Public show of affection  SA	Public show of affection

Q4U	Question for you  4U	Question for you

QSL	Reply  SL	Reply

QSO	Conversation  SO	Conversation

QT	Cutie  T	Cutie

RCED	Reconnected  CED	Reconnected

RE	Hi again (same as re's)  E	Hi again (same as re's)

ROFL	Rolling on floor laughing  OFL	Rolling on floor laughing

ROFLOLAY	Rolling on floor laughing out loud at you  OFLOLAY	Rolling on floor laughing out loud at you

ROFLOLTSDMC	Rolling on floor laughing out loud tears streaming down my cheeks  OFLOLTSDMC	Rolling on floor laughing out loud tears streaming down my cheeks

ROFLOLUTS	Rolling on floor laughing out loud unable to speak  OFLOLUTS	Rolling on floor laughing out loud unable to speak

ROFLOLWTIME	Rolling on floor laughing out loud with tears in my eyes  OFLOLWTIME	Rolling on floor laughing out loud with tears in my eyes

ROTFL	Rolling on the floor laughing  OTFL	Rolling on the floor laughing

